Case Name,Level,Node Index,Node Degree
double_lift_zebra,0,0,26
double_lift_zebra,0,1,16
double_lift_zebra,0,2,25
double_lift_zebra,0,3,18
double_lift_zebra,0,4,21
double_lift_zebra,0,5,26
double_lift_zebra,0,6,15
double_lift_zebra,0,7,25
double_lift_zebra,0,8,18
double_lift_zebra,0,9,9
double_lift_zebra,0,10,17
double_lift_zebra,0,11,21
double_lift_zebra,0,12,25
double_lift_zebra,0,13,13
double_lift_zebra,0,14,18
double_lift_zebra,0,15,15
double_lift_zebra,0,16,10
double_lift_zebra,0,17,22
double_lift_zebra,0,18,19
double_lift_zebra,0,19,13
double_lift_zebra,0,20,26
double_lift_zebra,0,21,22
double_lift_zebra,0,22,25
double_lift_zebra,0,23,19
double_lift_zebra,0,24,17
double_lift_zebra,0,25,21
double_lift_zebra,0,26,21
double_lift_zebra,0,27,9
double_lift_zebra,0,28,15
double_lift_zebra,0,29,27
double_lift_zebra,0,30,29
double_lift_zebra,0,31,27
double_lift_zebra,0,32,15
double_lift_zebra,0,33,16
double_lift_zebra,0,34,33
double_lift_zebra,0,35,14
double_lift_zebra,0,36,18
double_lift_zebra,0,37,20
double_lift_zebra,0,38,37
double_lift_zebra,0,39,32
double_lift_zebra,0,40,21
double_lift_zebra,0,41,14
double_lift_zebra,0,42,15
double_lift_zebra,0,43,28
double_lift_zebra,0,44,13
double_lift_zebra,0,45,13
double_lift_zebra,0,46,20
double_lift_zebra,0,47,13
double_lift_zebra,0,48,10
double_lift_zebra,0,49,21
double_lift_zebra,0,50,32
double_lift_zebra,0,51,37
double_lift_zebra,0,52,27
double_lift_zebra,0,53,14
double_lift_zebra,0,54,22
double_lift_zebra,0,55,34
double_lift_zebra,0,56,19
double_lift_zebra,0,57,17
double_lift_zebra,0,58,21
double_lift_zebra,0,59,13
double_lift_zebra,0,60,27
double_lift_zebra,0,61,14
double_lift_zebra,0,62,22
double_lift_zebra,0,63,15
double_lift_zebra,0,64,39
double_lift_zebra,0,65,23
double_lift_zebra,0,66,18
double_lift_zebra,0,67,22
double_lift_zebra,0,68,25
double_lift_zebra,0,69,53
double_lift_zebra,0,70,19
double_lift_zebra,0,71,30
double_lift_zebra,0,72,22
double_lift_zebra,0,73,16
double_lift_zebra,0,74,12
double_lift_zebra,0,75,17
double_lift_zebra,0,76,22
double_lift_zebra,0,77,15
double_lift_zebra,0,78,13
double_lift_zebra,0,79,21
double_lift_zebra,0,80,17
double_lift_zebra,0,81,15
double_lift_zebra,0,82,20
double_lift_zebra,0,83,12
double_lift_zebra,0,84,19
double_lift_zebra,0,85,15
double_lift_zebra,0,86,15
double_lift_zebra,0,87,23
double_lift_zebra,0,88,16
double_lift_zebra,0,89,14
double_lift_zebra,0,90,17
double_lift_zebra,0,91,27
double_lift_zebra,0,92,25
double_lift_zebra,0,93,20
double_lift_zebra,0,94,25
double_lift_zebra,0,95,19
double_lift_zebra,0,96,18
double_lift_zebra,0,97,41
double_lift_zebra,0,98,38
double_lift_zebra,0,99,24
double_lift_zebra,0,100,17
double_lift_zebra,0,101,14
double_lift_zebra,0,102,28
double_lift_zebra,0,103,18
double_lift_zebra,0,104,20
double_lift_zebra,0,105,27
double_lift_zebra,0,106,11
double_lift_zebra,0,107,19
double_lift_zebra,0,108,25
double_lift_zebra,0,109,33
double_lift_zebra,0,110,9
double_lift_zebra,0,111,16
double_lift_zebra,0,112,22
double_lift_zebra,0,113,16
double_lift_zebra,0,114,23
